曜,限,学期,年,クラス,科目名,担当者,講義コード,教室,受講対象/再履修者科目名,備考
水,2,前期前半,2,,サービスイノベーション,関 良明,yaa813103,FEIS,対象[24-23],対開講(水1、水2)
水,2,前期前半,3,,ビッグデータ解析演習,山口 敦子,yaa813101,31B,対象[23-23],対開講(水1、水2)
水,2,前期後半,1,クラス2,データサイエンス数学,新井 優太,yab813103,31C,対象[25-23],対開講(水1、水2)
水,2,前期後半,2,,経営戦略概論,葉村 真樹,yab813102,33I,対象[24-23],対開講(水1、水2)
水,2,前期後半,3,,ベイズ統計学,河合 孝純,yab813101,32B,対象[23-23],対開講(水1、水2)
木,1,前期前半,2,,業務プロセス分析,大久保 寛基,yaa814102,33K,対象[24-23],対開講(木1、木2)
木,1,前期前半,3,,デザインプロトタイピング(2),松田 裕多、津田 賀央,yaa816501,33I,対象[23-23],対開講(木1、木2)
木,1,前期後半,1,,ユーザーエクスペリエンスデザイン入門,蓮池 公威、永盛 祐介,yab811402,33I,対象[25-23],対開講(木1、木2)
木,1,前期後半,2,,機械学習論,佐藤 圭浩,yab814102,33K,対象[24-23],対開講(木1、木2)
木,1,前期後半,3,,サービスシステムデザイン演習,大久保 寛基,yab814101,33H,対象[23-23],対開講(木1、木2)
木,2,前期前半,2,,業務プロセス分析,大久保 寛基,yaa814102,33K,対象[24-23],対開講(木1、木2)
木,2,前期前半,3,,デザインプロトタイピング(2),松田 裕多、津田 賀央,yaa816501,33I,対象[23-23],対開講(木1、木2)
木,2,前期後半,1,,ユーザーエクスペリエンスデザイン入門,蓮池 公威、永盛 祐介,yab811402,33I,対象[25-23],対開講(木1、木2)
木,2,前期後半,2,,機械学習論,佐藤 圭浩,yab814102,33K,対象[24-23],対開講(木1、木2)
木,2,前期後半,3,,サービスシステムデザイン演習,大久保 寛基,yab814101,33H,対象[23-23],対開講(木1、木2)
木,3,前期前半,3,,日本経済論(a),鍛治 篤,yaa054307,32K,対象[23-23],
木,3,前期前半,3,,Global Studies(1),畑 和樹、ストーン リチャード、デトレフ ラングマン,yaa811301,32J,対象[23-23],対開講(木3、木4)
木,3,前期後半,2,,SD PBL (2),小川 祐樹、山口 敦子、河合 孝純,yab815303,33I,対象[24-23],
木,3,前期後半,3,,日本経済論(b),鍛治 篤,yab054307,32K,対象[23-23],
木,3,前期後半,3,,Global Studies(4),吉川 玄徳、大久保 寛基、斎藤 文、葉村 真樹、関 良明,yaa811401,32H,対象[23-23],対開講(木3、木4)
木,4,前期前半,3,,Global Studies(1),畑 和樹、ストーン リチャード、デトレフ ラングマン,yaa811301,32J,対象[23-23],対開講(木3、木4)
木,4,前期後半,1,,スポーツ・健康論,岩嶋 孝夫,yab003101,33K,対象[25-23],対開講(水1、木4)
木,4,前期後半,3,,Global Studies(4),吉川 玄徳、大久保 寛基、斎藤 文、葉村 真樹、関 良明,yaa811401,32H,対象[23-23],対開講(木3、木4)
金,1,前期前半,1,,English I-A,畑 和樹,yaa812104,22G,対象[25-25],対開講(火1、金1)
金,1,前期前半,2,,Presentation Strategies,中村 優子,yaa082101,32K,対象[24-23],対開講(火1、金1)
金,1,前期前半,2,,再・English III-A,ストーン リチャード,yaa812102,31F,対象[24-23],対開講(火1、金1)
金,1,前期前半,2,,再・English II-A,成田 哲,yaa812103,32B,対象[24-23],対開講(火1、金1)
金,1,前期後半,1,,English I-B,畑 和樹,yab812104,22G,対象[25-25],対開講(火1、金1)
金,1,前期後半,2,,再・English III-B,ストーン リチャード,yab812102,31F,対象[24-23],対開講(火1、金1)
金,1,前期後半,2,,再・English II-B,成田 哲,yab812103,32B,対象[24-23],対開講(火1、金1)
金,1,前期後半,3,,Intercultural Understanding(2),中村 優子,yab812101,32G,対象[23-23],対開講(火1、金1)
金,2,前期前半,2,,Academic Discussion,畑 和樹,yaa812201,32J,対象[24-23],対開講(火2、金2)
金,2,前期後半,2,,English Test Preparation for Academic Purposes,畑 和樹,yab812201,32G,対象[24-23],対開講(火2、金2)
金,2,前期後半,3,,特別講義（Towards　Humanistically- Principled A.I. Systems),デトレフ ラングマン,yab812203,32I,対象[23-23],対開講(火2、金2)
金,3,前期前半,1,,コンピュータ基礎演習,佐藤 圭浩,yaa815302,32H,対象[25-23],対開講(金3、金4)
金,3,前期前半,2,,経営分析論,吉川 玄徳,yaa815303,22G,対象[24-23],対開講(金3、金4)
金,3,前期後半,1,,情報学理論,小川 祐樹,yab815302,32A,対象[25-23],対開講(金3、金4)
金,3,前期後半,2,,デザインプロトタイピング(1),蓮池 公威,yab812303,33I,対象[24-23],対開講(金3、金4)
金,3,前期後半,3,,プロジェクトマネジメン,吉野 良成,yab815301,32G,対象[23-23],対開講(金3、金4)
金,4,前期前半,1,,コンピュータ基礎演習,佐藤 圭浩,yaa815302,32H,対象[25-23],対開講(金3、金4)
金,4,前期前半,2,,経営分析論,吉川 玄徳,yaa815303,22G,対象[24-23],対開講(金3、金4)
金,4,前期後半,1,,情報学理論,小川 祐樹,yab815302,32A,対象[25-23],対開講(金3、金4)
金,4,前期後半,2,,デザインプロトタイピング(1),蓮池 公威,yab812303,33I,対象[24-23],対開講(金3、金4)
金,4,前期後半,3,,プロジェクトマネジメン,吉野 良成,yab815301,32G,対象[23-23],対開講(金3、金4)
